F95BA Connecting to RETS api
F95BA Downloading photos
 F95BA   93/8916 Listing ID A2066645  , 05 photos. skipping #4.
 F95BA   94/8916 Listing ID A2115454  , 28 photos. skipping #1.
 F95BA   94/8916 Listing ID A2115454  , 28 photos. skipping #2.
 F95BA   94/8916 Listing ID A2115454  , 28 photos. skipping #3.
 F95BA   94/8916 Listing ID A2115454  , 28 photos. skipping #4.
 F95BA   95/8916 Listing ID A2058288  , 02 photos. skipping #1.
 F95BA   95/8916 Listing ID A2058288  , 02 photos. skipping #2.
 F95BA   96/8916 Listing ID A2116326  , 23 photos. skipping #1.
 F95BA   96/8916 Listing ID A2116326  , 23 photos. skipping #2.
 F95BA   96/8916 Listing ID A2116326  , 23 photos. skipping #3.
 F95BA   96/8916 Listing ID A2116326  , 23 photos. skipping #4.
 F95BA   97/8916 Listing ID A2128256  , 10 photos. skipping #1.
 F95BA   97/8916 Listing ID A2128256  , 10 photos. skipping #2.
 F95BA   97/8916 Listing ID A2128256  , 10 photos. skipping #3.
 F95BA   97/8916 Listing ID A2128256  , 10 photos. skipping #4.
 F95BA   98/8916 Listing ID A2133896  , 16 photos. skipping #1.
 F95BA   98/8916 Listing ID A2133896  , 16 photos. skipping #2.
 F95BA   98/8916 Listing ID A2133896  , 16 photos. skipping #3.
 F95BA   98/8916 Listing ID A2133896  , 16 photos. skipping #4.
 F95BA   99/8916 Listing ID A2138428  , 15 photos. skipping #1.
 F95BA   99/8916 Listing ID A2138428  , 15 photos. skipping #2.
 F95BA   99/8916 Listing ID A2138428  , 15 photos. skipping #3.
 F95BA   99/8916 Listing ID A2138428  , 15 photos. skipping #4.
 F95BA  100/8916 Listing ID A2064760  , 02 photos. skipping #1.
 F95BA  100/8916 Listing ID A2064760  , 02 photos. skipping #2.
 F95BA  101/8916 Listing ID A2084203  , 05 photos. skipping #1.
 F95BA  101/8916 Listing ID A2084203  , 05 photos. skipping #2.
 F95BA  101/8916 Listing ID A2084203  , 05 photos. skipping #3.
 F95BA  101/8916 Listing ID A2084203  , 05 photos. skipping #4.
 F95BA  102/8916 Listing ID A2140432  , 05 photos. skipping #1.
 F95BA  102/8916 Listing ID A2140432  , 05 photos. skipping #2.
 F95BA  102/8916 Listing ID A2140432  , 05 photos. skipping #3.
 F95BA  102/8916 Listing ID A2140432  , 05 photos. skipping #4.
 F95BA  103/8916 Listing ID A2142543  , 11 photos. skipping #1.
 F95BA  103/8916 Listing ID A2142543  , 11 photos. skipping #2.
 F95BA  103/8916 Listing ID A2142543  , 11 photos. skipping #3.
 F95BA  103/8916 Listing ID A2142543  , 11 photos. skipping #4.
 F95BA  104/8916 Listing ID A2130502  , 11 photos. skipping #1.
 F95BA  104/8916 Listing ID A2130502  , 11 photos. skipping #2.
 F95BA  104/8916 Listing ID A2130502  , 11 photos. skipping #3.
 F95BA  104/8916 Listing ID A2130502  , 11 photos. skipping #4.
 F95BA  105/8916 Listing ID A2065189  , 02 photos. skipping #1.
 F95BA  105/8916 Listing ID A2065189  , 02 photos. skipping #2.
 F95BA  106/8916 Listing ID A2065193  , 02 photos. skipping #1.
 F95BA  106/8916 Listing ID A2065193  , 02 photos. skipping #2.
 F95BA  107/8916 Listing ID A2129951  , 13 photos. skipping #1.
 F95BA  107/8916 Listing ID A2129951  , 13 photos. skipping #2.
 F95BA  107/8916 Listing ID A2129951  , 13 photos. skipping #3.
 F95BA  107/8916 Listing ID A2129951  , 13 photos. skipping #4.
 F95BA  108/8916 Listing ID A2111517  , 02 photos. skipping #1.
 F95BA  108/8916 Listing ID A2111517  , 02 photos. skipping #2.
 F95BA  109/8916 Listing ID A2141357  , 13 photos. skipping #1.
 F95BA  109/8916 Listing ID A2141357  , 13 photos. skipping #2.
 F95BA  109/8916 Listing ID A2141357  , 13 photos. skipping #3.
 F95BA  109/8916 Listing ID A2141357  , 13 photos. skipping #4.
 F95BA  110/8916 Listing ID A2119142  , 10 photos. skipping #1.
 F95BA  110/8916 Listing ID A2119142  , 10 photos. skipping #2.
 F95BA  110/8916 Listing ID A2119142  , 10 photos. skipping #3.
 F95BA  110/8916 Listing ID A2119142  , 10 photos. skipping #4.
 F95BA  111/8916 Listing ID A2132012  , 27 photos. skipping #1.
 F95BA  111/8916 Listing ID A2132012  , 27 photos. skipping #2.
 F95BA  111/8916 Listing ID A2132012  , 27 photos. skipping #3.
 F95BA  111/8916 Listing ID A2132012  , 27 photos. skipping #4.
 F95BA  112/8916 Listing ID A2142254  , 19 photos. skipping #1.
 F95BA  112/8916 Listing ID A2142254  , 19 photos. skipping #2.
 F95BA  112/8916 Listing ID A2142254  , 19 photos. skipping #3.
 F95BA  112/8916 Listing ID A2142254  , 19 photos. skipping #4.
 F95BA  113/8916 Listing ID A2136893  , 34 photos. skipping #1.
 F95BA  113/8916 Listing ID A2136893  , 34 photos. skipping #2.
 F95BA  113/8916 Listing ID A2136893  , 34 photos. skipping #3.
 F95BA  113/8916 Listing ID A2136893  , 34 photos. skipping #4.
